Fandom,Link,Title,Description
Final Fantasy X/X-2,https://www.fanfiction.net/s/4007751/1/,FFX Origins of a Hero,"Thrown into a unfamilar world, a young zanarkand experiances a series of events that change him from an out spoke athelete into a selfless hero of Spira as he challenges the cycle of death possible language and voilence warning"
Final Fantasy X/X-2,https://www.fanfiction.net/s/8487603/1/,Final Fantasy Guardians,"Sakura is a young Al Bhed girl full of life and spirit. She has a fairly normal life with her Uncle Cid and cousin Rikku. But when Rikku finds a strange boy washed up in a cave who claims he's from Zanarkand, a city destroyed for 1000 years, her life will change forever."
Final Fantasy X/X-2,https://www.fanfiction.net/s/8615168/1/,Final Fantasy X Novelization,"1000 years ago, an evil entity ravaged a never-sleeping city, sending the star player of the Zanarkand Abes a millennium into the future to meet a radiant summoner and her guardians who he journeys with on a pilgrimage to defeat the beast that destroyed his home town. Meanwhile, he learns horrific truths about his past and grows feelings for the summoner that he guards"
Final Fantasy X/X-2,https://www.fanfiction.net/s/6744736/1/,Final Fantasy X: Her Eternal Calm,"You know the story. But what if Yuna had chosen a different path for her ending, and ultimately create a new beginning? Her love for Tidus will change the course of Spira and the Eternal Calm forever."
Final Fantasy X/X-2,https://www.fanfiction.net/s/5119372/1/,Final Fantasy X: Our Story,"Told through the eyes of not famous-star-player-of-the-Zanarkand-Abes. But Tidus. Secrets will be uncovered, his hatred for his father renewed, and the love for another will blossom. Listen to his story. This may be our last chance."
Final Fantasy X/X-2,https://www.fanfiction.net/s/6678695/1/,Final Fantasy X3: Our Story,"Sin is abolished, Vegnagun is just a memory,and Yuna has finally been reunited with Tidus. What will Spira hold for them as they continue their journey together with their friends? Is this the fairy tale ending Yuna and Tidus hoped it would be?"
Final Fantasy X/X-2,https://www.fanfiction.net/s/2481044/1/,Fumbling Towards Ecstasy,"Near the end of her pilgrimage, Yuna decides she needs to extract a little more from life. One guardian is more than willing to help, til the end. An inevitable end made all the more horrifying, because she dared to love him."
Final Fantasy X/X-2,https://www.fanfiction.net/s/2216497/1/,Someday the Dream Will End,"When Tidus finds himself in a strange new world, how far will he have to go to get back home?"
Final Fantasy X/X-2,https://www.fanfiction.net/s/6009002/1/,Spira's Dream,"Tidus returns to Spira, but questions about how remain. Is he real this time? Or is something else going on with the secrets that Spira continues to hold?"
Final Fantasy X/X-2,https://www.fanfiction.net/s/6550824/1/,Spira's Dream : Spira's Revenge,"It seems Tidus isn't the only ghost from Zanarkand, and Spira's troubles aren't over yet."
